source,title,content,url,publishTime,Thumbnail,Location
199IT,COVID-19 | 互联网数据资讯网-199IT | 中文互联网数据研究资讯...,这是 | 的市场研究数据和报告... 最新预测:新冠肺炎疫情()对全球航空运输经济影响 2020年03月7日 作者DinK   感谢您支持199IT的发展 199I...,http://www.199it.com/archives/tag/covid-19,2020年03月07日 06:05,,Texas
腾讯新闻,优质资讯推荐_腾讯网,"腾讯网从2003年创立至今,已经成为集新闻信息,区域垂直生活服务、社会化媒体资讯和产品为一体的互联网媒体平台。腾讯网下设新闻、科技、财经、娱乐、体育、汽车、时尚...",https://new.qq.com/omn/20200302/20200302A0PDSJ00,2020年03月02日 19:54,,Texas
腾讯新闻,"COVID-19疫情下,开学有那么着急吗?取消整个学期又如何?","疫情暴发2月余,可用的流行病学调查并不多,该病的传染途径和传播强度尚未完全确定。 从开始,很多人信誓旦旦说传播力远不及SARS,即使被现实一次次打脸,...",https://new.qq.com/omn/20200223/20200223A074RO00,2020年02月23日 10:26,,Texas
韓星網,"【武汉肺炎.COVID-19】综艺《偏爱转播》录制过程中,素人出演者...","「最近由於武汉肺炎(新冠肺炎、)的扩散,对於节目的出演人员、普通人、制作组等所有人员都进行了事先调查,仔细调查了2月1日以后的高危险地区。昨日的录制...",https://www.koreastardaily.com/sc/news/124907,2020年03月08日 18:26,"https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=832764261,1871189539&fm=190&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=F9836599561845D8521CB0560300D061&sec=1583780326&t=bb9d187ffec61b9a38ea9f0493504663",Texas
江南都市报,抗击疫情江西在行动 China optimizes treatment for COVID-19,抗击疫情江西在行动 China optimizes treatment for  江南都市报 发布时间:03-0900:35江南都市报官方帐号 评论 作者最新文章 抗击疫情江西在行动《湖北保卫...,https://baijiahao.baidu.com/s?id=1660614412673699894&wfr=spider&for=pc,2小时前,,Texas
网易新闻,英国首席医疗官警告:九周内90%的Covid-19病例将进入NHS,"英国首席医疗官克里斯·惠蒂(Chris Whitty)表示,几乎所有病例都将在“高度集中”的突发事件中让NHS承压,预计50%的病例将在三周内发生,而90%的病例将在九...",http://3g.163.com/news/article_cambrian/F742BMHL0539ABYY.html,2020年03月07日 10:42,,Texas
小玉米旅游,"当冠状病毒(COVID-19)快速传播时,您能安全旅行吗?","新的病毒(冠状病毒)正在导致航班取消和空荡荡的机场,所以您应该旅行并且可以安全旅行吗? 冠状病毒的扩散使各国实行隔离,取消重大事件并关闭学校。它对旅游...",https://baijiahao.baidu.com/s?id=1660394941079347017&wfr=spider&for=pc,2020年03月06日 14:26,"https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=753685277,1708712334&fm=190&app=58&size=f242,162&n=0&g=0n&f=JPEG?s=F7945D894607794B4C3470DA0300D0B0&sec=1583780326&t=c05acf59fa49dc0dc77886ba7fa43002",Texas
韓星網,受COVID-19 影响 《KCON Japan 2020》宣告延期,"作为韩流输出代表盛会的 KCON 原定下个月在日本登场,不过在  疫情蔓延下,暂时没机会同时见到大批偶像的表演了!",https://www.koreastardaily.com/sc/news/124870,2020年03月07日 11:35,,Texas
手机凤凰网,如何结合中国看待各国政府对新冠病毒(COVID-19)的应对?,"手机支付的普及绝对可以极大帮助对的防控的。在绝大多数国家(甚至包括德国、英国、美国这样的发达国家),仍然需要使用纸质货币或硬币来完成绝大多数交易,而且...",http://news.ifeng.com/c/7uNBvxcaE0l,2020年02月26日 08:51,,Texas
科学网,COVID-19的传播效率不如流感,"3月3日,在2019冠状病毒病()疫情媒体通报会上,世卫组织总干事谭德赛表示,“从目前掌握的数据来看,的传播效率不如流感。”...",http://news.sciencenet.cn/htmlnews/2020/3/436589.shtm,2020年03月04日 11:58,,Texas
