"",,AGGIORNAMENTO 23/03/2020 ORE 17.00,,
"",,POSITIVI AL nCoV,,
Regione,,,,
"",,Totale DIMESSI/,CASI,
"",Ricoverati,Terapia Isolamento DECEDUTI,,TAMPONI
"",,attualmente GUARITI,TOTALI,
"",con sintomi,intensiva domiciliare,,
"",,positivi,,
Lombardia,9266,1183 8461 18910 6075 3776,28.761,73.242
Emilia Romagna,2846,276 4098 7220 423 892,8.535,31.200
Veneto,1206,281 3499 4986 327 192,5.505,61.115
Piemonte,2194,343 1992 4529 17 315,4.861,13.560
Marche,882,148 1328 2358 8 203,2.569,6.782
Toscana,838,238 1225 2301 51 109,2.461,13.851
Liguria,761,133 659 1553 159 212,1.924,5.538
Lazio,718,96 600 1414 63 63,1.540,18.371
Campania,266,110 553 929 48 49,1.026,5.813
Friuli V.G.,185,41 545 771 105 54,930,7.424
Trento,249,46 619 914 68 41,1.023,3.150
Bolzano,145,33 510 688 7 29,724,6.084
Puglia,285,45 532 862 7 37,906,6.761
Sicilia,250,60 371 681 27 13,721,6.375
Abruzzo,228,52 325 605 20 38,663,3.674
Umbria,106,42 408 556 5 16,577,3.561
Valle d'Aosta,69,20 290 379 2 12,393,1.098
Sardegna,76,18 249 343 5 11,359,2.568
Calabria,82,20 178 280 5 7,292,4.073
Basilicata,15,12 62 89 1,90,696
Molise,25,7 18 50 10 7,67,532
TOTALE,20.692,3.204 26.522 50.418 7.432 6.077,63.927,275.468
ATTUALMENTE POSITIVI,50418
TOTALE GUARITI,7432
TOTALE DECEDUTI,6077
CASI TOTALI,63927
